result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -127.209846, pixels: 378130448, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 5, datasquaresum: 65906, highlight: 0 
signal: -111.941284, pixels: 378130448, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 29, datasquaresum: 65906, highlight: 0 
signal: -109.367958, pixels: 378130448, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 39, datasquaresum: 65906, highlight: 0 
signal: -131.646820, pixels: 378130448, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 3, datasquaresum: 65906, highlight: 0 
signal: -106.381996, pixels: 378130448, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 55, datasquaresum: 65906, highlight: 0 
signal: -110.559669, pixels: 378130448, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 34, datasquaresum: 65906, highlight: 0 
signal: -112.246086, pixels: 378130448, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 28, datasquaresum: 65906, highlight: 0 
signal: -110.818970, pixels: 378130448, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 33, datasquaresum: 65906, highlight: 0 
signal: -108.933571, pixels: 378130448, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 41, datasquaresum: 65906, highlight: 0 
signal: -107.385330, pixels: 378130448, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 49, datasquaresum: 65906, highlight: 0 
signal: -107.209846, pixels: 378130448, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 50, datasquaresum: 65906, highlight: 0 
signal: -116.105255, pixels: 378130448, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 1, data: 20, datasquaresum: 64951, highlight: 0 
signal: -115.277405, pixels: 378130448, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 1, data: 22, datasquaresum: 64951, highlight: 0 
signal: -114.521637, pixels: 378130448, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 1, data: 24, datasquaresum: 64951, highlight: 0 
signal: -119.203293, pixels: 378130448, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 1, data: 14, datasquaresum: 64951, highlight: 0 
signal: -124.064056, pixels: 378130448, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 1, data: 8, datasquaresum: 64951, highlight: 0 
signal: -116.105255, pixels: 378130448, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 1, data: 20, datasquaresum: 64951, highlight: 0 
